client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927634.mp3	na wakati tamko hilo likitolewa wananchi wa jijinj juba na kwingineko wameanza shamrashamra	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927635.mp3	Njia hizi mbili za kimila zinafanywa kwa kupokezana kati ya kaskazini na kusini	1	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927636.mp3	mawasiliano hufika kwa umbo la alama za umeme katika waya	2	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927637.mp3	na mara nyingi haya yanatokea wakati tayari	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927638.mp3	ili thamani ya fedha iweze kuonekana Ujenzi wa kituo hicho kikubwa Cha umeme utakiwezesha	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927649.mp3	mba uchaguzi umeenda salama kwa amani kama ilivyo kuwa tanzania na sasa kura	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927650.mp3	zinafanana na za Wakuria Walikuwa na bado wanathamini mpaka sasa mila za tohara kutia	1	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927651.mp3	Usafwa katika mji mkuu wa Utengule Usangu Mpangile alisimikwa kama kiongozi mpya wa Uhehe	0	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927652.mp3	na nchi zingine jirani ya nchi ya kenya katika suala zima	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927653.mp3	na wajitokeze kwa wingi ili kuamua hatma yao ikiwa wanataka kusalia kama	1	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927659.mp3	Waziwazi kutokukubalina na uongozi wa kiuonevu wa Rais Ramon Grau	0	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927660.mp3	Alianza kuiongoza nchi ya marekani kati ya elfu moja mia saba themanini na tiisa	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927661.mp3	nteua mimi wakiamini kwamba mimi ni albino	0	4				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927662.mp3	Padrii Edward stear aliweza kulitumia eneo hilo la mkunazini	0	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927663.mp3	Kwanza vya Dunia Katiba hiyo inasema wazi kwamba	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927669.mp3	na alitaka kufahamu nini madhumuni	0	2				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927670.mp3	Katika maadhimisho hayo Wakala ulipata fursa ya kuonesha	0	3				sw	
f07fcc7123784095e2b931201c634305af8fe80b30595db286ca50e896f89ca08037a611ae1615654f08c3bed570b8613a5bf29dadd646cfd22f762694f7d21f	common_voice_sw_34927671.mp3	Uingereza mataifa hayo yanapata mapato makubwa sana kupitia sanaa zao Takwimu iliyofanywa hapa Tanzania	0	2				sw	
